role,history,continue,took,christopher,historic,looks,breaks,tour,auden,becoming,often,like,tier,year,mao,typical,city,wuhan,second,chinese,reading,great,facto,country,de,made,trip,wh,isherwood,welcome,photographic,played,yet,capital
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
