election,updates,impact,guess,attention,shortages,continue,odds,riskiest,fear,sunday,would,tayyip,turkey,erdo,little,changeshe,global,won,slips,recently,secure,snap,polls,seem,climate,government,harsh,wins,grandchildren,importance,predicted,photos,dice,geo,majority,posted,severe,justice,poor,ripples,turkish,southern,party,stark,point,facebook,never,harvests,causes,heard,lost,pugnacious,figures,message,unexpectedly,plight,akp,life,nation,rare,child,public,anger,taking,lists,supply,way,division,malnutrition,related,killer,ruling,brought,children,despite,published,blow,june,un,terrorism,parliamentary,gamble,widespread,political,three,follows,shocking,divisions,rerun,grow,strategic,food,island,hit,live,send,silent,defying,hunger,facing,likely,history,emaciated,dealt,million,reading,rolled,according,madagascar,people,turning,outright,njomasy,could,leadershiprecep,development,strongman,successive,president,nearly,drought,family
0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
2,1,0,0,0,0,1,1,1,1,1,0,1,2,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,2,0,0,0
