senator,rental,ever,largest,one,stuy,first,trawling,continue,foliage,riselike,middle,century,dismantled,complex,marveled,hidden,economic,people,blows,kingdom,acts,celeste,mythical,st,rent,conquistador,landlords,greed,less,crackling,seen,bleeding,town,intrepid,country,wandering,schumer,hiked,village,china,succession,crept,dealt,peter,told,pledges,metallic,stood,saturday,explorer,far,near,view,urbexers,rainforest,corporate,stop,yorkers,underfoot,arrived,upped,new,clad,york,owners,apartment,nothing,metropolis,came,urban,ancient,astonishing,manhattan,tenants,like,apartments,wastelands,many,chuck,despicable,cooper,deal,day,uncovering,left,stuyvesant,black,reading,income,bruising,late,industrial,towers,landed,affordability,systematically,achievements,dramas,mary,clearing,class,undergrowth,haven
0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0
1,1,1,1,2,1,0,0,1,0,0,3,1,1,2,0,0,0,0,1,0,1,0,2,1,1,0,1,1,1,0,1,1,3,0,0,0,1,1,2,0,1,0,1,1,1,1,0,1,1,0,1,2,0,0,0,2,1,1,0,0,0,5,0,3,1,1,1,0,0,1,0,0,2,2,0,1,0,1,1,1,1,1,0,0,0,2,0,1,1,1,1,0,0,1,1,1,1,0,0,0,2,0,1
