happened,best,yet,reading,happens,mapped,landlord,say,rotterdam,barely,roadside,transport,gridlocked,washington,one,inches,fleeing,share,dc,lets,line,architecture,frustration,fate,road,plans,stories,renters,floating,traffic,red,yellow,urban,whimper,role,crisis,change,tool,enhanced,snow,potentially,links,turns,love,roads,forest,see,makes,kind,favourites,costs,sign,daily,late,system,event,appointment,called,city,sound,like,get,resilient,unusual,tried,notice,sitting,major,week,green,strikes,much,high,non,disaster,feature,snarled,arteries,rent,inch,another,climate,evacuation,superstorm,continue,berlin,look,imagine,metro,read,delhi,attack,handle,property,miserable,comments,rush,range,overcharging,light,moving,route,terrorist,new,roundup,singapore,deadly,hour,could,even,stations,along,map,storiesthis,illegally,d
1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1,1,0,1,0,1,1,0,1,1,1,0,1,0,2,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,3,0,1,1,0,0,0,1,0,1,1,0,1,1,1,2,2,1,0,1,1,0,1,0,2,1,0,1,0,3,0,0,1,1,1,2,0,0,0,1,3,1,1,0,1,0,0,0,0
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,3,0,0,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,1,1
